age,gender,degree_level,field_of_study,gpa,years_experience,python,java,c_cpp,sql,machine_learning,data_analysis,cloud_computing,cybersecurity,web_development,devops,networking,communication,leadership,problem_solving,teamwork,adaptability,recommended_job_1,recommended_job_2,recommended_job_3
30,Male,PhD,Cybersecurity,2.7,0,0,0,1,1,1,1,0,0,0,1,0,3,2,1,1,5,Business Intelligence Analyst,Software Engineer,DevOps Engineer
21,Female,Bachelor,AI,3.32,3,0,1,0,1,0,1,0,0,0,1,0,2,2,1,2,5,Backend Developer,Business Intelligence Analyst,Software Engineer
21,Female,Master,Computer Science,3.22,5,1,1,0,0,0,1,0,1,1,1,1,2,4,5,3,5,Software Engineer,DevOps Engineer,Cybersecurity Analyst
24,Male,Bachelor,Computer Science,2.85,6,0,0,0,0,1,0,1,1,1,0,1,2,2,5,3,1,Cloud Engineer,Cybersecurity Analyst,Frontend Developer
35,Female,Bachelor,Data Science,3.32,2,1,0,0,0,0,0,0,1,0,1,0,4,1,1,1,5,DevOps Engineer,Cybersecurity Analyst,Business Intelligence Analyst
27,Male,Master,Software Engineering,2.52,4,1,0,1,1,0,0,0,1,1,1,1,1,3,5,2,5,Software Engineer,DevOps Engineer,Cybersecurity Analyst
22,Male,Master,AI,2.84,7,1,0,0,0,1,1,1,1,0,0,0,1,2,1,4,1,Machine Learning Engineer,Cloud Engineer,Cybersecurity Analyst
28,Male,PhD,AI,2.56,2,0,1,1,1,0,1,1,0,0,0,1,1,2,3,4,4,Cloud Engineer,Business Intelligence Analyst,Software Engineer
31,Female,Bachelor,AI,3.08,0,0,0,0,1,0,0,0,0,0,1,1,3,2,5,3,1,DevOps Engineer,Security Engineer,Machine Learning Engineer
32,Male,PhD,Cybersecurity,3.53,1,0,1,1,1,0,1,0,1,1,0,0,4,4,3,2,2,Business Intelligence Analyst,Software Engineer,Cybersecurity Analyst
28,Male,Bachelor,Cybersecurity,2.64,1,0,0,0,1,0,0,1,1,1,0,1,1,2,1,4,3,Cloud Engineer,Cybersecurity Analyst,Frontend Developer
35,Male,PhD,Data Science,3.72,1,1,1,1,0,1,0,0,0,1,1,1,5,2,2,5,4,AI Researcher,Machine Learning Engineer,Software Engineer
34,Male,Master,Data Science,2.57,1,0,0,1,1,1,0,1,1,0,1,1,4,4,4,5,5,Software Engineer,Cloud Engineer,DevOps Engineer
25,Female,Bachelor,Cybersecurity,2.57,0,1,0,1,0,1,0,1,1,1,0,1,5,5,5,2,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
22,Male,PhD,Cybersecurity,3.71,3,0,1,1,1,0,1,1,1,1,0,0,2,5,1,3,3,Business Intelligence Analyst,Software Engineer,Cloud Engineer
28,Female,Master,Software Engineering,3.52,6,0,1,1,0,0,1,1,1,1,1,0,4,2,3,4,1,Software Engineer,Cloud Engineer,DevOps Engineer
24,Female,PhD,Cybersecurity,3.03,1,1,1,0,1,1,1,1,1,0,1,1,2,4,4,2,5,Machine Learning Engineer,Data Scientist,Business Intelligence Analyst
32,Male,Bachelor,Software Engineering,3.09,4,1,0,1,1,1,0,0,0,1,1,1,3,5,2,2,3,Machine Learning Engineer,Software Engineer,DevOps Engineer
31,Male,Bachelor,Data Science,2.83,5,1,0,1,1,0,0,1,1,1,1,0,2,4,3,3,2,Software Engineer,Cloud Engineer,DevOps Engineer
31,Female,PhD,Computer Science,3.12,4,0,1,1,1,0,0,1,0,1,0,1,5,3,1,2,5,Software Engineer,Cloud Engineer,Backend Developer
34,Female,PhD,Cybersecurity,2.86,7,1,0,0,1,0,1,0,0,0,1,1,1,5,4,3,2,Business Intelligence Analyst,DevOps Engineer,Data Analyst
22,Female,PhD,Computer Science,3.71,0,0,0,0,1,1,0,1,0,0,1,1,4,2,2,5,4,Cloud Engineer,DevOps Engineer,AI Researcher
26,Male,Master,Data Science,3.42,5,1,1,1,0,1,1,0,1,1,1,1,2,5,5,4,1,Machine Learning Engineer,Software Engineer,DevOps Engineer
30,Male,Bachelor,Software Engineering,2.96,6,1,0,0,0,1,0,1,0,1,1,1,3,2,1,2,5,Machine Learning Engineer,Cloud Engineer,DevOps Engineer
21,Male,Master,Computer Science,3.78,1,1,0,0,1,0,0,1,0,1,0,1,3,4,2,1,4,Cloud Engineer,AI Researcher,Frontend Developer
23,Male,Bachelor,Data Science,3.08,7,1,1,1,0,0,1,0,1,0,1,1,2,5,5,4,3,Software Engineer,DevOps Engineer,Cybersecurity Analyst
32,Female,Bachelor,AI,2.7,4,1,1,1,0,1,0,1,1,1,0,0,5,1,3,1,1,Machine Learning Engineer,Software Engineer,Cloud Engineer
29,Female,Master,Computer Science,3.24,0,0,1,0,1,0,0,0,0,0,0,1,3,5,2,4,5,Software Engineer,Backend Developer,Security Engineer
22,Female,Master,Cybersecurity,2.78,0,0,1,0,0,1,0,0,1,0,1,1,1,2,1,1,1,Software Engineer,DevOps Engineer,Cybersecurity Analyst
33,Male,PhD,Data Science,3.71,3,0,1,1,1,0,0,1,1,1,0,0,1,5,3,5,3,Software Engineer,Cloud Engineer,Cybersecurity Analyst
25,Female,PhD,Data Science,3.02,8,1,1,1,1,0,0,0,1,1,0,1,3,3,2,5,3,Software Engineer,Cybersecurity Analyst,Backend Developer
35,Male,Bachelor,AI,3.02,7,1,0,1,0,0,1,1,1,0,1,1,1,2,5,2,2,Software Engineer,Cloud Engineer,DevOps Engineer
33,Male,Bachelor,Software Engineering,2.59,7,1,0,1,0,1,1,1,1,1,0,0,4,4,4,1,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
27,Male,Master,Software Engineering,2.8,8,0,1,0,1,0,0,0,1,0,1,1,3,3,1,1,2,Software Engineer,DevOps Engineer,Cybersecurity Analyst
25,Female,PhD,Cybersecurity,2.8,4,0,1,0,1,1,0,1,0,0,0,1,3,4,5,4,3,Software Engineer,Cloud Engineer,Backend Developer
27,Male,Master,Data Science,2.67,8,0,1,1,0,1,1,0,1,0,1,1,3,5,3,5,2,Software Engineer,DevOps Engineer,Cybersecurity Analyst
26,Female,Bachelor,AI,2.69,3,1,1,0,1,1,1,1,1,0,1,0,5,2,4,1,5,Business Intelligence Analyst,Machine Learning Engineer,Data Scientist
32,Female,PhD,Software Engineering,2.78,4,1,0,0,0,0,1,0,0,0,0,1,1,5,4,2,2,Security Engineer,Machine Learning Engineer,Data Scientist
22,Male,Bachelor,Computer Science,3.22,2,0,0,1,1,0,1,0,1,1,0,1,1,2,2,3,5,Business Intelligence Analyst,Software Engineer,Cybersecurity Analyst
34,Female,Master,Computer Science,2.66,0,0,1,0,0,0,1,1,0,0,0,1,5,4,4,4,4,Software Engineer,Cloud Engineer,Backend Developer
35,Male,PhD,Cybersecurity,3.65,7,1,1,0,0,0,0,1,1,1,0,1,3,2,2,4,4,Software Engineer,Cloud Engineer,Cybersecurity Analyst
35,Male,Bachelor,Data Science,2.87,2,1,1,0,1,0,1,1,1,1,1,1,1,3,2,3,5,Business Intelligence Analyst,Software Engineer,Cloud Engineer
24,Female,Master,Data Science,3.3,7,1,1,0,0,0,0,1,0,1,0,1,5,2,1,2,4,Software Engineer,Cloud Engineer,Backend Developer
23,Female,PhD,Computer Science,2.84,1,0,0,1,1,0,1,0,1,0,0,0,4,5,3,1,3,Business Intelligence Analyst,Software Engineer,Cybersecurity Analyst
33,Female,PhD,Computer Science,2.76,8,1,1,1,1,1,0,1,0,0,1,1,4,2,2,2,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
34,Female,Bachelor,Data Science,3.27,6,1,1,1,1,0,1,1,0,1,0,1,5,2,3,1,1,Business Intelligence Analyst,Software Engineer,Cloud Engineer
29,Male,PhD,Data Science,2.72,1,0,0,0,1,1,1,1,0,0,1,1,5,5,4,3,3,Business Intelligence Analyst,Data Analyst,Cloud Engineer
33,Male,Master,Data Science,2.56,7,1,1,0,0,1,1,1,0,1,1,1,4,2,5,4,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
26,Male,Master,AI,2.72,2,1,1,1,0,0,1,0,0,1,1,1,2,4,4,3,5,Software Engineer,DevOps Engineer,Backend Developer
23,Female,PhD,Computer Science,2.64,3,0,1,0,1,1,0,1,1,1,1,0,3,1,2,4,4,Software Engineer,Cloud Engineer,DevOps Engineer
32,Female,PhD,Computer Science,2.84,5,0,1,1,0,1,1,1,0,0,1,0,5,3,2,2,3,Software Engineer,Cloud Engineer,DevOps Engineer
28,Female,PhD,AI,2.64,8,0,1,0,1,1,0,1,1,0,0,0,2,3,4,4,2,Software Engineer,Cloud Engineer,Cybersecurity Analyst
23,Male,PhD,AI,2.91,7,0,0,1,0,0,1,0,1,1,1,1,3,5,5,4,5,Software Engineer,DevOps Engineer,Cybersecurity Analyst
35,Female,Bachelor,Computer Science,2.81,8,1,0,1,0,1,0,0,1,1,1,1,3,3,5,4,4,Machine Learning Engineer,Software Engineer,DevOps Engineer
31,Male,Bachelor,Computer Science,3.09,8,1,1,1,0,0,1,0,0,0,1,1,2,1,4,4,2,Software Engineer,DevOps Engineer,Backend Developer
35,Male,Master,Computer Science,2.57,2,0,0,1,0,1,1,1,1,0,1,0,1,3,3,3,3,Software Engineer,Cloud Engineer,DevOps Engineer
26,Male,PhD,Data Science,3.02,2,0,1,0,1,0,1,0,0,1,0,0,4,2,5,1,5,Business Intelligence Analyst,Software Engineer,Data Analyst
32,Male,Bachelor,Cybersecurity,3.18,4,0,1,1,0,1,0,1,1,1,1,1,2,3,2,3,3,Software Engineer,Cloud Engineer,DevOps Engineer
33,Male,Bachelor,AI,3.59,3,1,0,0,0,0,1,1,0,0,1,1,3,2,2,5,4,Cloud Engineer,DevOps Engineer,Security Engineer
34,Male,PhD,Software Engineering,2.87,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,5,Cybersecurity Analyst,Security Engineer,Machine Learning Engineer
26,Female,Bachelor,Cybersecurity,3.13,5,1,0,1,0,0,0,0,1,1,1,1,3,4,1,2,4,Software Engineer,DevOps Engineer,Cybersecurity Analyst
23,Female,Bachelor,Data Science,2.57,7,1,1,0,1,1,0,1,0,0,0,1,5,5,5,5,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
24,Male,Master,Computer Science,3.97,1,1,1,1,0,1,1,1,1,1,1,0,4,5,3,2,5,AI Researcher,Machine Learning Engineer,Software Engineer
27,Female,Master,Computer Science,3.41,2,0,0,1,0,0,0,1,0,1,1,1,4,3,2,3,2,Software Engineer,Cloud Engineer,DevOps Engineer
21,Male,Master,Cybersecurity,4.0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,3,3,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
28,Female,PhD,Computer Science,3.28,1,0,1,0,1,0,1,0,0,0,1,0,3,2,4,4,3,Business Intelligence Analyst,Software Engineer,DevOps Engineer
23,Female,Master,Software Engineering,3.53,2,1,1,1,0,1,0,1,0,0,1,1,4,5,3,1,1,Machine Learning Engineer,Software Engineer,Cloud Engineer
28,Male,Master,AI,3.56,1,0,1,0,0,0,1,0,1,0,0,1,1,5,1,5,3,Software Engineer,Cybersecurity Analyst,Data Scientist
21,Female,PhD,Cybersecurity,3.71,8,1,1,1,1,0,1,1,1,0,1,1,3,3,1,1,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
32,Female,PhD,Computer Science,3.85,5,0,1,0,1,1,0,1,0,1,1,0,4,5,2,5,1,Software Engineer,Cloud Engineer,DevOps Engineer
24,Female,Master,Computer Science,3.75,3,1,1,1,0,0,0,1,0,1,1,0,4,1,1,2,4,Software Engineer,Cloud Engineer,DevOps Engineer
29,Male,Master,Cybersecurity,3.12,2,1,1,1,1,0,1,1,1,0,1,1,1,5,1,4,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
34,Male,PhD,Cybersecurity,3.68,1,1,0,1,0,0,0,1,1,0,1,1,5,2,4,5,1,Software Engineer,Cloud Engineer,DevOps Engineer
27,Female,Master,Software Engineering,3.53,7,0,1,0,1,1,0,1,1,1,1,0,5,4,5,5,5,Cybersecurity Analyst,Software Engineer,Cloud Engineer
33,Female,Bachelor,Computer Science,3.02,8,1,0,1,1,0,0,0,1,0,0,0,3,1,1,2,1,Software Engineer,Cybersecurity Analyst,Backend Developer
24,Male,Master,Cybersecurity,2.89,4,0,0,1,0,0,0,0,0,1,1,1,4,4,2,4,1,Software Engineer,DevOps Engineer,Backend Developer
27,Female,Bachelor,Cybersecurity,2.86,4,1,1,0,0,0,1,1,1,0,0,0,3,2,2,3,5,Software Engineer,Cloud Engineer,Cybersecurity Analyst
27,Female,Master,Cybersecurity,3.04,7,1,0,0,0,1,0,0,0,1,1,1,1,5,3,1,2,Machine Learning Engineer,DevOps Engineer,Data Scientist
23,Male,Bachelor,Software Engineering,2.9,1,0,1,0,1,1,0,0,0,0,1,1,2,3,4,5,5,Software Engineer,DevOps Engineer,Backend Developer
25,Female,Master,Software Engineering,2.79,0,0,1,1,1,1,1,0,0,0,0,0,4,2,3,3,1,Business Intelligence Analyst,Software Engineer,Data Analyst
22,Female,Master,Cybersecurity,3.96,0,1,0,0,0,0,0,0,0,1,0,0,3,3,3,3,4,AI Researcher,Frontend Developer,Full Stack Developer
21,Male,Master,Data Science,3.23,1,0,0,0,1,1,0,0,0,0,1,1,5,5,2,2,5,DevOps Engineer,Security Engineer,Business Intelligence Analyst
28,Male,Master,AI,2.99,0,0,0,0,1,0,0,0,0,0,0,0,3,2,3,4,1,Machine Learning Engineer,Data Scientist,AI Researcher
29,Female,PhD,Computer Science,2.54,4,0,1,1,0,1,1,1,1,0,0,0,2,5,2,5,5,Software Engineer,Cloud Engineer,Cybersecurity Analyst
33,Male,PhD,Data Science,3.25,8,0,1,1,1,1,0,1,1,1,1,1,1,3,1,5,2,Software Engineer,Cloud Engineer,DevOps Engineer
33,Male,PhD,AI,3.49,2,1,1,0,0,1,1,1,0,0,1,0,1,2,5,1,5,Machine Learning Engineer,Software Engineer,Cloud Engineer
29,Male,Bachelor,Data Science,3.24,7,0,0,0,0,0,0,1,1,1,1,0,5,4,3,5,1,Cloud Engineer,DevOps Engineer,Cybersecurity Analyst
35,Female,Master,AI,2.57,4,0,1,0,1,0,0,1,0,0,1,1,5,2,4,2,5,Software Engineer,Cloud Engineer,DevOps Engineer
26,Male,Master,AI,2.53,1,0,1,1,1,0,1,1,0,0,1,0,3,3,3,3,5,Business Intelligence Analyst,Software Engineer,Cloud Engineer
32,Male,Bachelor,Cybersecurity,3.74,8,1,0,0,1,1,1,0,0,0,0,1,1,1,1,3,2,AI Researcher,Machine Learning Engineer,Data Scientist
23,Female,Bachelor,Data Science,3.58,2,1,0,1,0,1,1,1,0,1,1,0,5,5,3,5,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
32,Female,Master,AI,3.08,1,0,0,0,1,1,0,1,0,1,0,1,5,2,2,3,1,Cloud Engineer,Frontend Developer,Security Engineer
27,Male,Bachelor,Cybersecurity,3.62,2,0,0,0,1,1,0,1,0,0,0,1,1,2,2,2,5,Cloud Engineer,Security Engineer,Machine Learning Engineer
34,Male,Master,Computer Science,3.81,8,1,0,1,1,1,0,1,0,1,1,0,3,1,3,1,1,AI Researcher,Machine Learning Engineer,Software Engineer
28,Male,PhD,Software Engineering,3.49,8,0,0,1,0,1,0,1,1,0,0,1,5,3,1,2,4,Software Engineer,Cloud Engineer,Cybersecurity Analyst
26,Male,Bachelor,Cybersecurity,3.7,1,0,1,0,0,1,0,0,1,1,0,0,4,5,4,4,5,Software Engineer,Cybersecurity Analyst,Backend Developer
28,Male,Master,Computer Science,3.16,2,1,0,1,0,1,1,1,0,0,0,1,4,4,3,3,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
28,Male,Master,AI,2.63,1,1,1,1,1,1,0,0,1,1,1,0,2,3,3,2,2,Machine Learning Engineer,Software Engineer,DevOps Engineer
26,Male,PhD,Data Science,2.9,6,1,1,1,0,1,0,0,1,1,1,0,1,1,4,4,1,Machine Learning Engineer,Software Engineer,DevOps Engineer
30,Female,PhD,Cybersecurity,3.46,7,1,0,0,0,0,1,0,0,1,0,1,1,4,4,4,5,Frontend Developer,Security Engineer,Full Stack Developer
30,Male,Master,Data Science,2.94,5,0,0,1,1,0,1,0,1,0,1,1,2,3,1,4,2,Business Intelligence Analyst,Software Engineer,DevOps Engineer
22,Male,Master,Data Science,2.85,2,0,0,0,1,0,1,0,0,1,0,0,5,3,1,5,1,Business Intelligence Analyst,Data Analyst,Frontend Developer
26,Female,PhD,Data Science,3.62,5,1,1,1,1,0,1,1,0,0,0,1,5,5,2,4,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
21,Male,PhD,Software Engineering,3.9,5,0,0,0,0,1,0,0,0,0,0,1,5,5,5,2,5,AI Researcher,Security Engineer,Business Intelligence Analyst
22,Male,Bachelor,Software Engineering,3.83,4,0,0,1,1,1,1,0,1,0,1,0,2,4,4,4,1,Business Intelligence Analyst,Software Engineer,DevOps Engineer
23,Male,Master,Data Science,3.33,5,1,0,1,1,0,1,0,0,1,1,1,2,2,5,5,1,Business Intelligence Analyst,Software Engineer,DevOps Engineer
25,Male,PhD,Cybersecurity,3.03,2,1,1,1,1,0,1,1,0,1,1,0,4,4,2,2,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
22,Male,Bachelor,AI,2.91,0,1,0,1,1,1,1,1,0,0,0,0,4,3,1,4,1,Business Intelligence Analyst,Machine Learning Engineer,Data Scientist
23,Female,PhD,AI,2.62,0,0,0,0,0,1,0,0,0,1,1,1,5,3,1,1,1,DevOps Engineer,Frontend Developer,Security Engineer
22,Female,PhD,Data Science,3.02,6,0,1,0,1,1,1,1,1,0,0,1,3,5,5,4,5,Business Intelligence Analyst,Software Engineer,Cloud Engineer
31,Female,Master,Cybersecurity,2.85,3,0,0,0,1,1,1,0,1,0,0,0,3,2,5,4,2,Business Intelligence Analyst,Cybersecurity Analyst,Data Analyst
33,Male,Master,AI,2.88,8,1,0,0,1,0,1,0,0,0,0,0,3,2,4,5,1,Business Intelligence Analyst,Data Analyst,Data Scientist
23,Female,Bachelor,Cybersecurity,3.53,5,0,1,0,1,1,0,1,0,0,0,1,4,5,4,5,1,Software Engineer,Cloud Engineer,Backend Developer
21,Male,Bachelor,Data Science,3.41,4,0,0,0,0,1,0,0,1,1,0,0,3,1,3,4,5,Cybersecurity Analyst,Frontend Developer,Full Stack Developer
27,Male,PhD,Software Engineering,2.81,4,1,0,0,0,1,0,1,1,0,0,0,1,2,5,3,2,Machine Learning Engineer,Cloud Engineer,Cybersecurity Analyst
27,Male,PhD,Data Science,3.1,8,1,0,0,0,1,1,1,0,1,0,1,3,4,4,2,2,Machine Learning Engineer,Cloud Engineer,Data Scientist
31,Male,Bachelor,AI,3.23,6,0,0,1,0,0,0,0,0,1,1,0,2,2,2,5,5,Software Engineer,DevOps Engineer,Backend Developer
24,Female,Bachelor,Computer Science,3.28,6,0,0,0,1,1,0,1,0,0,1,0,1,4,4,5,1,Cloud Engineer,DevOps Engineer,Machine Learning Engineer
25,Male,Bachelor,Software Engineering,2.78,2,1,0,1,0,1,1,1,1,1,0,0,5,2,1,1,4,Machine Learning Engineer,Software Engineer,Cloud Engineer
32,Male,Bachelor,Computer Science,2.98,5,1,1,1,0,1,1,1,1,0,1,1,2,3,3,5,3,Machine Learning Engineer,Software Engineer,Cloud Engineer
27,Female,PhD,AI,3.03,0,0,1,0,1,1,1,1,0,1,0,0,3,4,5,5,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
22,Male,Bachelor,AI,3.68,7,1,1,0,1,1,0,0,1,0,1,0,1,1,1,5,2,Machine Learning Engineer,Software Engineer,DevOps Engineer
22,Male,Bachelor,Software Engineering,2.57,8,0,1,1,1,0,0,1,1,1,0,1,2,3,5,1,5,Software Engineer,Cloud Engineer,Cybersecurity Analyst
25,Male,Bachelor,Data Science,3.24,1,1,1,0,0,1,0,1,1,1,0,0,1,3,3,2,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
32,Male,Bachelor,Data Science,3.3,1,0,1,1,1,0,1,1,1,1,0,0,2,5,4,5,1,Business Intelligence Analyst,Software Engineer,Cloud Engineer
30,Female,Master,AI,3.37,5,1,0,0,1,0,1,1,0,1,1,0,2,3,1,5,1,Business Intelligence Analyst,Cloud Engineer,DevOps Engineer
27,Male,Bachelor,Software Engineering,3.68,3,1,1,0,1,0,1,1,0,0,1,0,5,4,2,3,1,Business Intelligence Analyst,Software Engineer,Cloud Engineer
30,Female,Bachelor,AI,3.73,5,1,1,0,0,0,0,0,0,1,1,0,4,3,5,3,2,Software Engineer,DevOps Engineer,AI Researcher
27,Female,PhD,Software Engineering,3.08,1,1,1,0,1,0,1,0,0,1,0,0,3,2,4,5,2,Business Intelligence Analyst,Software Engineer,Data Analyst
27,Male,Bachelor,Computer Science,3.94,4,0,0,1,1,0,1,0,0,0,1,1,3,1,3,5,2,Business Intelligence Analyst,Software Engineer,DevOps Engineer
30,Female,PhD,Data Science,3.71,4,0,0,1,1,0,1,0,0,0,0,1,2,4,3,1,3,Business Intelligence Analyst,Software Engineer,AI Researcher
28,Female,Bachelor,Software Engineering,3.5,6,1,0,1,1,0,1,1,0,1,0,1,4,4,5,4,1,Business Intelligence Analyst,Software Engineer,Cloud Engineer
24,Male,Master,Data Science,3.84,0,0,0,1,0,0,1,0,1,1,1,1,3,2,4,2,1,Software Engineer,DevOps Engineer,Cybersecurity Analyst
32,Female,Master,AI,2.77,2,0,1,0,0,1,1,1,0,0,0,1,4,4,3,4,2,Software Engineer,Cloud Engineer,Backend Developer
35,Female,PhD,Software Engineering,2.93,5,1,0,1,1,0,1,1,0,0,1,0,4,1,1,2,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
28,Male,Master,Computer Science,3.1,0,0,1,0,0,1,1,0,0,1,0,1,2,4,1,5,3,Software Engineer,Backend Developer,Frontend Developer
33,Female,Master,Data Science,3.35,7,0,1,0,0,0,0,1,0,0,1,0,3,5,5,3,4,Software Engineer,Cloud Engineer,DevOps Engineer
26,Male,PhD,Software Engineering,3.73,5,1,0,0,0,0,1,0,1,0,0,1,4,5,4,2,4,Cybersecurity Analyst,AI Researcher,Security Engineer
30,Female,PhD,Computer Science,3.01,2,1,0,1,0,0,1,0,0,0,0,0,2,5,3,1,3,Software Engineer,Backend Developer,Machine Learning Engineer
30,Female,Bachelor,Software Engineering,3.77,6,1,1,1,0,0,0,0,1,0,0,0,4,5,4,1,2,Software Engineer,Cybersecurity Analyst,AI Researcher
27,Male,Bachelor,Computer Science,2.69,0,1,0,1,1,1,1,0,0,0,1,1,1,3,1,4,2,Machine Learning Engineer,Data Scientist,Business Intelligence Analyst
29,Male,PhD,Cybersecurity,2.75,8,1,1,0,1,0,1,1,0,1,1,1,3,1,3,2,2,Cloud Engineer,Business Intelligence Analyst,Software Engineer
35,Female,Master,Data Science,3.86,1,0,0,1,1,0,1,1,1,0,0,0,2,5,5,4,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
21,Male,Bachelor,Data Science,3.67,4,1,0,1,1,1,1,1,0,0,0,1,3,2,3,3,2,Machine Learning Engineer,Data Scientist,Business Intelligence Analyst
30,Female,PhD,AI,3.93,2,0,0,1,0,1,0,0,1,1,0,1,5,2,2,5,5,Software Engineer,Cybersecurity Analyst,AI Researcher
31,Female,Bachelor,Cybersecurity,3.2,5,1,0,1,0,1,1,1,1,1,0,0,1,1,3,5,3,Machine Learning Engineer,Software Engineer,Cloud Engineer
22,Female,Bachelor,Software Engineering,3.94,0,1,0,0,1,0,1,1,1,0,1,1,3,2,2,3,3,Business Intelligence Analyst,Cloud Engineer,DevOps Engineer
